cid	frag_id2mol_inx
28376780	{"0": [0, 1], "1": [1, 2], "2": [2, 3], "3": [3, 4], "4": [3, 5], "5": [5, 6], "6": [9, 12], "7": [12, 13], "8": [13, 14], "9": [16, 14, 15], "11": [1, 17], "12": [7, 8, 9, 10, 11, 6], "13": [18, 19, 20, 21, 22, 17], "14": [1], "15": [3]}
16352706	{"0": [0, 1], "1": [1, 2], "2": [2, 3], "4": [6, 7], "5": [7, 8], "8": [10, 16], "9": [16, 17], "11": [3, 4, 5, 6, 18, 19, 20], "12": [8, 9, 10, 11, 12, 13, 14, 15]}
8536751	{"0": [0, 1], "1": [1, 2], "2": [2, 3], "3": [2, 4], "4": [1, 10], "5": [10, 11], "6": [11, 12], "7": [11, 13], "8": [16, 19], "9": [5, 6, 7, 8, 9, 4], "10": [14, 15, 16, 17, 18, 13], "11": [20, 21, 22, 23, 24, 19], "12": [1], "13": [2], "14": [11]}
18386381	{"1": [6, 7], "2": [7, 8], "3": [7, 9], "4": [13, 15], "5": [15, 16], "6": [12, 17], "7": [17, 18, 19], "9": [10, 20], "10": [20, 21], "12": [24, 28], "13": [28, 29], "14": [29, 30, 31], "17": [0, 1, 2, 3, 4, 5, 6], "18": [11, 12, 13, 14, 9, 10], "19": [32, 21, 22, 23, 24, 25, 26, 27], "20": [7]}
9085153	{"0": [7, 9], "1": [12, 14], "2": [14, 15], "3": [14, 16], "4": [16, 17], "5": [17, 18], "6": [18, 19], "7": [18, 20], "8": [20, 21], "10": [0, 1, 2, 3, 4, 5, 6, 7, 8], "11": [10, 9, 13, 12, 11], "12": [21, 22, 23, 24, 25, 26, 27], "13": [14], "14": [18]}
24320025	{"0": [0, 1], "1": [1, 2], "2": [2, 3], "3": [3, 4], "4": [3, 5], "5": [6, 14], "6": [14, 15], "7": [15, 16], "8": [15, 17], "9": [19, 23], "10": [24, 25, 23], "12": [23, 26], "13": [26, 27], "15": [5, 6, 7, 8, 9, 10, 11, 12, 13], "16": [18, 19, 20, 21, 22, 17], "17": [32, 33, 27, 28, 29, 30, 31], "18": [3], "19": [15], "20": [23]}
8626124	{"0": [0, 1, 2], "2": [1, 3], "3": [3, 4], "4": [4, 5], "5": [5, 6], "6": [5, 7], "7": [7, 8], "8": [8, 9], "9": [9, 10], "10": [9, 11], "11": [11, 12], "13": [13, 19], "14": [19, 20], "15": [19, 21], "16": [12, 13, 14, 15, 16, 17, 18], "17": [22, 23, 24, 25, 26, 21], "18": [5], "19": [9], "20": [19]}
12012895	{"0": [0, 1, 2, 3], "3": [1, 4], "4": [4, 5], "5": [5, 6], "6": [6, 7], "7": [7, 8], "8": [8, 9], "9": [7, 10], "10": [10, 11, 12, 13], "13": [4, 14], "14": [14, 15], "15": [4], "16": [7]}
3333305	{"0": [0, 1, 2], "2": [1, 3], "3": [3, 4], "4": [4, 5], "5": [5, 6, 7], "7": [4, 8], "8": [8, 9], "9": [9, 10], "10": [9, 11], "11": [11, 12], "12": [15, 18], "13": [18, 19, 20], "15": [12, 17, 16, 15, 14, 13], "16": [4], "17": [9]}
14187785	{"0": [0, 1], "1": [1, 2], "2": [2, 3], "3": [3, 4], "4": [3, 5], "5": [5, 6], "6": [6, 7], "7": [7, 8], "8": [8, 9], "9": [9, 10], "10": [10, 11, 12], "12": [7, 13], "13": [5, 14, 15], "15": [3, 16], "16": [16, 17], "17": [17, 18], "18": [3], "19": [5], "20": [7]}
