cid	frag_id2neighbors
"9"	{"1": [11, 2, 3, 8, 9, 10], "2": [1], "3": [4, 1], "4": [3, 12], "5": [12], "6": [12], "7": [12], "8": [1], "9": [1], "10": [1], "11": [1], "12": [4, 5, 6, 7]}
"10"	{"1": [3, 21], "2": [21], "3": [4, 1], "4": [3, 23], "5": [6, 23], "6": [5], "7": [22, 23], "8": [22, 24], "9": [24], "10": [11, 24], "11": [10, 25], "12": [13, 25], "13": [12, 14], "14": [13, 26], "15": [26], "16": [26], "17": [25, 27], "18": [27], "19": [27], "20": [21], "21": [20, 2, 1], "22": [7, 8], "23": [4, 5, 7], "24": [8, 9, 10], "25": [11, 12, 17], "26": [14, 15, 16], "27": [17, 18, 19]}
"14"	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3, 5], "5": [4, 22], "6": [22], "7": [8, 22], "8": [7, 9], "9": [8, 21], "10": [21], "11": [12, 21], "12": [11, 13], "13": [12, 14], "14": [13, 15], "15": [14, 16], "16": [15, 17], "17": [16, 23], "18": [23], "19": [23], "20": [21], "21": [9, 10, 11, 20], "22": [5, 6, 7], "23": [17, 18, 19]}
"15"	{"1": [5], "2": [5], "3": [8], "4": [7], "5": [1, 2, 6], "6": [5, 7], "7": [4, 6, 8], "8": [3, 7]}
"16"	{"1": [3, 2], "2": [1], "3": [1]}
"24"	{"1": [12], "2": [15, 16], "3": [16, 17], "4": [13], "5": [14], "6": [14], "7": [13], "8": [13], "9": [17], "10": [16], "11": [15], "12": [1, 15], "13": [4, 7, 8, 14, 17], "14": [5, 6, 13], "15": [12, 2, 11], "16": [2, 3, 10], "17": [3, 9, 13]}
"25"	{"1": [10], "2": [13, 14], "3": [11, 14], "4": [12], "5": [12], "6": [11], "7": [11], "8": [14], "9": [13], "10": [1, 13], "11": [3, 6, 7, 12], "12": [4, 5, 11], "13": [10, 2, 9], "14": [2, 3, 8]}
"26"	{"1": [12], "2": [12], "3": [12, 13], "4": [13], "5": [10, 13], "6": [11], "7": [11], "8": [10], "9": [10], "10": [5, 8, 9, 11], "11": [6, 7, 10], "12": [1, 2, 3], "13": [3, 4, 5]}
"27"	{"1": [10, 11], "2": [25, 26], "3": [23, 26], "4": [24], "5": [24], "6": [23], "7": [23], "8": [26], "9": [25], "10": [1, 25], "11": [1, 27], "12": [27], "13": [27], "14": [15, 27], "15": [14, 28], "16": [28], "17": [28], "18": [19, 28], "19": [18, 29], "20": [29], "21": [29], "22": [29], "23": [3, 6, 7, 24], "24": [4, 5, 23], "25": [10, 2, 9], "26": [2, 3, 8], "27": [11, 12, 13, 14], "28": [15, 16, 17, 18], "29": [19, 20, 21, 22]}
"31"	{"1": [13], "2": [3, 13], "3": [2], "4": [13, 14], "5": [6, 14], "6": [5, 7], "7": [6, 15], "8": [15], "9": [15], "10": [15], "11": [14], "12": [13], "13": [1, 2, 4, 12], "14": [4, 5, 11], "15": [7, 8, 9, 10]}
"41"	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3, 14], "5": [14], "6": [14, 15], "7": [8, 15], "8": [7, 9], "9": [8, 16], "10": [16], "11": [16], "12": [16], "13": [15], "14": [4, 5, 6], "15": [6, 7, 13], "16": [9, 10, 11, 12]}
